"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ENT","Global Eagle Entertainment Inc.","13.5","$1.45B","2011","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ent",
"GBLI","Global Indemnity plc","26.43","$669.19M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbli",
"GMC","Global Market Group Limited","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gmc",
"GSOL","Global Sources Ltd.","5.93","$176.82M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/gsol",
"QQQC","Global X China Technology ETF","21.9299","$17.54M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqqc",
"SOCL","Global X Social Media Index ETF","18.43","$100.44M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/socl",
"GAI","Global-Tech Advanced Innovations Inc.","3.79","$11.54M","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/gai",
"GSM","Globe Specialty Metals Inc.","16.41","$1.21B","2009","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"GBIM","GlobeImmune, Inc.","7.31","$42.03M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gbim",
"GLBS","Globus Maritime Limited","1.6899","$17.3M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GLRI","Glori Energy Inc","3.35","$105.52M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/glri",
"GLUU","Glu Mobile Inc.","5.08","$543.3M","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/gluu",
"GLYC","GlycoMimetics, Inc.","7.32","$138.31M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glyc",
"GOGO","Gogo Inc.","15.73","$1.34B","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gogo",
"GLNG","Golar LNG Limited","31.73","$2.96B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","27.34","$1.68B","2011","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp",
"GLDC","Golden Enterprises, Inc.","4.19","$49.16M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/gldc",
